gene_symbol,sources,confidence,moi,evidence,disease,hgnc_id,in_clinvar
GPI,GenCC,medium,Autosomal recessive,strong,hemolytic anemia due to glucophosphate isomerase deficiency,,False
GPIHBP1,GenCC,medium,Autosomal recessive,strong,"hyperlipoproteinemia, type 1D",,False
GPN2,GenCC,medium,Autosomal recessive,moderate,complex neurodevelopmental disorder,,False
GPNMB,GenCC,medium,Autosomal recessive,definitive,"amyloidosis, primary localized cutaneous, 3",,False
GPR156,GenCC,medium,Autosomal recessive,strong,"hearing loss, autosomal recessive 121",,False
GPR179,GenCC,medium,Autosomal recessive,definitive,GPR179-related retinopathy,,False
GPR68,GenCC,medium,Autosomal recessive,strong,"amelogenesis imperfecta, hypomaturation type, IIa6",,False
GPSM2,GenCC,medium,Autosomal recessive,definitive,Chudley-McCullough syndrome,,False
GPT2,GenCC,medium,Autosomal recessive,definitive,glutamate pyruvate transaminase 2 deficiency,,False
GPX4,GenCC,medium,Autosomal recessive,strong,"spondylometaphyseal dysplasia, Sedaghatian type",,False
GRHL2,GenCC,medium,Autosomal recessive,strong,nail and teeth abnormalities-marginal palmoplantar keratoderma-oral hyperpigmentation syndrome,,False
GRHPR,GenCC,medium,Autosomal recessive,definitive,primary hyperoxaluria type 2,,False
GRID2,GenCC,medium,Autosomal recessive,strong,autosomal recessive spinocerebellar ataxia 18,,False
GRIK2,GenCC,medium,Autosomal recessive,definitive,"intellectual disability, autosomal recessive 6",,False
GRIN1,GenCC,medium,Autosomal recessive,definitive,complex neurodevelopmental disorder,,False
GRIP1,GenCC,medium,Autosomal recessive,definitive,Fraser syndrome 3,,False
GRK1,GenCC,medium,Autosomal recessive,definitive,Oguchi disease,,False
GRK2,GenCC,medium,Autosomal recessive,moderate,Jeune syndrome,,False
GRM1,GenCC,medium,Autosomal recessive,strong,autosomal recessive spinocerebellar ataxia 13,,False
GRM6,GenCC,medium,Autosomal recessive,definitive,congenital stationary night blindness 1B,,False
GRM7,GenCC,medium,Autosomal recessive,strong,"neurodevelopmental disorder with seizures, hypotonia, and brain imaging abnormalities",,False
GRN,GenCC,medium,Autosomal recessive,definitive,neuronal ceroid lipofuscinosis,,False
GRXCR1,GenCC,medium,Autosomal recessive,definitive,nonsyndromic genetic hearing loss,,False
GRXCR2,GenCC,medium,Autosomal recessive,strong,autosomal recessive nonsyndromic hearing loss 101,,False
GSC,GenCC,medium,Autosomal recessive,strong,short stature-auditory canal atresia-mandibular hypoplasia-skeletal anomalies syndrome,,False
GSN,GenCC,medium,Autosomal recessive,definitive,Finnish type amyloidosis,,False
GSR,GenCC,medium,Autosomal recessive,strong,hemolytic anemia due to glutathione reductase deficiency,,False
GSS,GenCC,medium,Autosomal recessive,definitive,inherited glutathione synthetase deficiency,,False
